last_situations
"{'p1': ('white', 'DONE', 0.5, 3.135968), 'p2': ('black', 'DONE', 0.5, 9.988461)}"
"{'p1': ('white', 'DONE', 1, 7.851022000000001), 'p2': ('black', 'DONE', 0, 9.740562000000002)}"
"{'p1': ('white', 'DONE', 0.5, 5.9480929999999965), 'p2': ('black', 'DONE', 0.5, 9.994163)}"
"{'p1': ('white', 'DONE', 0.5, 7.962595000000001), 'p2': ('black', 'DONE', 0.5, 9.527108000000002)}"
"{'p1': ('white', 'DONE', 0.5, 4.951629999999999), 'p2': ('black', 'DONE', 0.5, 5.034675)}"
"{'p1': ('white', 'DONE', 0.5, 0.8962690000000004), 'p2': ('black', 'DONE', 0.5, 4.748768999999999)}"
"{'p1': ('white', 'DONE', 1, 8.571714), 'p2': ('black', 'DONE', 0, 9.665017)}"
"{'p1': ('white', 'DONE', 1, 7.903514), 'p2': ('black', 'DONE', 0, 8.832074000000002)}"
"{'p1': ('white', 'DONE', 0.5, 3.248151), 'p2': ('black', 'DONE', 0.5, 8.193577000000001)}"
"{'p1': ('white', 'DONE', 0, 6.064107), 'p2': ('black', 'DONE', 1, 9.320286)}"
"{'p1': ('white', 'DONE', 0.5, 7.956037), 'p2': ('black', 'DONE', 0.5, 9.687055999999998)}"
"{'p1': ('white', 'DONE', 0.5, 8.032083), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 4.454443000000003), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 7.381541000000004), 'p2': ('black', 'DONE', 0.5, 0.8542340000000004)}"
"{'p1': ('white', 'DONE', 0.5, 3.9553270000000054), 'p2': ('black', 'DONE', 0.5, 5.064787)}"
"{'p1': ('white', 'DONE', 0.5, 7.980277999999999), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.341797999999999), 'p2': ('black', 'DONE', 0.5, 9.977934)}"
"{'p1': ('white', 'DONE', 0.5, 4.313377), 'p2': ('black', 'DONE', 0.5, 9.398371999999998)}"
"{'p1': ('white', 'DONE', 1, 7.727703999999997), 'p2': ('black', 'DONE', 0, 9.974081000000002)}"
"{'p1': ('white', 'DONE', 1, 8.383775), 'p2': ('black', 'DONE', 0, 9.141168999999998)}"
"{'p1': ('white', 'DONE', 0.5, 7.4896329999999995), 'p2': ('black', 'DONE', 0.5, 2.1471160000000005)}"
"{'p1': ('white', 'DONE', 1, 4.837401000000004), 'p2': ('black', 'DONE', 0, 4.4697720000000025)}"
"{'p1': ('white', 'DONE', 0.5, 6.397679000000002), 'p2': ('black', 'DONE', 0.5, 8.466625999999998)}"
"{'p1': ('white', 'DONE', 0.5, 8.018748), 'p2': ('black', 'DONE', 0.5, 7.838456000000001)}"
"{'p1': ('white', 'DONE', 0, 7.7973789999999985), 'p2': ('black', 'DONE', 1, 7.717458999999999)}"
"{'p1': ('white', 'DONE', 0, 7.347709999999999), 'p2': ('black', 'DONE', 1, 9.412612999999999)}"
"{'p1': ('white', 'DONE', 0.5, 7.8467090000000015), 'p2': ('black', 'DONE', 0.5, 9.141707000000004)}"
"{'p1': ('white', 'DONE', 0.5, 7.432112999999997), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 3.1964820000000014), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 7.287326000000002), 'p2': ('black', 'DONE', 0.5, 0.814372)}"
"{'p1': ('white', 'DONE', 0, 9.576056000000003), 'p2': ('black', 'ERROR', None, 9.064127)}"
"{'p1': ('white', 'DONE', 0.5, 9.269286000000001), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 9.731283999999999), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 8.81691), 'p2': ('black', 'DONE', 0, 9.822433000000002)}"
"{'p1': ('white', 'DONE', 1, 8.524144999999999), 'p2': ('black', 'DONE', 0, 9.967672)}"
"{'p1': ('white', 'DONE', 1, 8.206487), 'p2': ('black', 'DONE', 0, 8.574221000000003)}"
"{'p1': ('white', 'DONE', 0, 9.019875999999998), 'p2': ('black', 'DONE', 1, 3.6433970000000016)}"
"{'p1': ('white', 'DONE', 0.5, 6.446736000000006), 'p2': ('black', 'DONE', 0.5, 5.722185000000006)}"
"{'p1': ('white', 'DONE', 0.5, 9.513488000000002), 'p2': ('black', 'DONE', 0.5, 9.476418999999996)}"
"{'p1': ('white', 'DONE', 1, 9.465321), 'p2': ('black', 'DONE', 0, 8.970908999999999)}"
"{'p1': ('white', 'DONE', 0.5, 9.494719000000003), 'p2': ('black', 'DONE', 0.5, 7.711700999999996)}"
"{'p1': ('white', 'DONE', 0, 8.730482), 'p2': ('black', 'DONE', 1, 9.059649000000004)}"
"{'p1': ('white', 'DONE', 0.5, 9.502961), 'p2': ('black', 'DONE', 0.5, 9.579308000000001)}"
"{'p1': ('white', 'DONE', 0.5, 9.013333999999999), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 8.425689000000002), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.017481), 'p2': ('black', 'DONE', 0.5, 0.3109469999999992)}"
"{'p1': ('white', 'DONE', 0.5, 7.027119999999998), 'p2': ('black', 'DONE', 0.5, 8.253244999999998)}"
"{'p1': ('white', 'DONE', 0.5, 9.419485000000002), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 9.908320000000002), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 6.7723070000000005), 'p2': ('black', 'DONE', 0, 9.620155000000002)}"
"{'p1': ('white', 'DONE', 1, 8.506848000000002), 'p2': ('black', 'DONE', 0, 9.980739)}"
"{'p1': ('white', 'DONE', 1, 5.332935000000003), 'p2': ('black', 'DONE', 0, 7.499161000000003)}"
"{'p1': ('white', 'DONE', 0, 8.521574000000001), 'p2': ('black', 'DONE', 1, 4.580108999999999)}"
"{'p1': ('white', 'DONE', 0.5, 6.449683000000002), 'p2': ('black', 'DONE', 0.5, 6.971215999999998)}"
"{'p1': ('white', 'DONE', 0.5, 8.508932999999997), 'p2': ('black', 'DONE', 0.5, 8.699412)}"
"{'p1': ('white', 'DONE', 0.5, 8.724571000000001), 'p2': ('black', 'DONE', 0.5, 8.424994000000005)}"
"{'p1': ('white', 'DONE', 0.5, 8.158257000000003), 'p2': ('black', 'DONE', 0.5, 8.082089000000002)}"
"{'p1': ('white', 'DONE', 0, 9.118741), 'p2': ('black', 'DONE', 1, 8.886705999999995)}"
"{'p1': ('white', 'DONE', 0.5, 8.82145), 'p2': ('black', 'DONE', 0.5, 9.345365999999999)}"
"{'p1': ('white', 'DONE', 1, 9.215221999999999), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 7.429516000000001), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.112185), 'p2': ('black', 'DONE', 0.5, 0.9462620000000005)}"
"{'p1': ('white', 'DONE', 1, 7.9707279999999985), 'p2': ('black', 'DONE', 0, 9.176722)}"
"{'p1': ('white', 'DONE', 0.5, 8.68781), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.789396999999997), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 6.749713000000004), 'p2': ('black', 'DONE', 0, 9.640788000000004)}"
"{'p1': ('white', 'DONE', 1, 7.034069999999998), 'p2': ('black', 'DONE', 0, 9.993144000000001)}"
"{'p1': ('white', 'DONE', 1, 8.242501), 'p2': ('black', 'DONE', 0, 8.766784000000003)}"
"{'p1': ('white', 'DONE', 0, 9.88432), 'p2': ('black', 'DONE', 1, 9.7596)}"
"{'p1': ('white', 'DONE', 0.5, 8.002185999999998), 'p2': ('black', 'DONE', 0.5, 6.878740000000001)}"
"{'p1': ('white', 'DONE', 0.5, 9.144893999999999), 'p2': ('black', 'DONE', 0.5, 9.535537)}"
"{'p1': ('white', 'DONE', 0.5, 8.938204999999998), 'p2': ('black', 'DONE', 0.5, 8.451931999999998)}"
"{'p1': ('white', 'DONE', 1, 8.665924), 'p2': ('black', 'DONE', 0, 9.135356)}"
"{'p1': ('white', 'DONE', 0, 9.250314000000001), 'p2': ('black', 'DONE', 1, 9.041424)}"
"{'p1': ('white', 'DONE', 0, 8.739127), 'p2': ('black', 'DONE', 1, 9.271533)}"
"{'p1': ('white', 'DONE', 0.5, 8.560192999999998), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 5.756618000000003), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.68108), 'p2': ('black', 'DONE', 0, 0.8509660000000013)}"
"{'p1': ('white', 'DONE', 1, 9.226922999999998), 'p2': ('black', 'DONE', 0, 7.458231999999998)}"
"{'p1': ('white', 'DONE', 1, 9.563132), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 9.428919999999998), 'p2': ('black', 'DONE', 0, 9.97729)}"
"{'p1': ('white', 'DONE', 1, 9.506257999999999), 'p2': ('black', 'DONE', 0, 9.871811)}"
"{'p1': ('white', 'DONE', 1, 8.154083), 'p2': ('black', 'DONE', 0, 9.994869)}"
"{'p1': ('white', 'DONE', 1, 7.217490000000001), 'p2': ('black', 'DONE', 0, 9.448289000000003)}"
"{'p1': ('white', 'DONE', 1, 9.299077), 'p2': ('black', 'DONE', 0, 5.8813569999999995)}"
"{'p1': ('white', 'DONE', 1, 8.927485), 'p2': ('black', 'DONE', 0, 8.657777000000001)}"
"{'p1': ('white', 'DONE', 1, 9.416568999999999), 'p2': ('black', 'DONE', 0, 9.167428000000001)}"
"{'p1': ('white', 'DONE', 1, 9.516544), 'p2': ('black', 'DONE', 0, 9.345359)}"
"{'p1': ('white', 'DONE', 1, 8.318468000000001), 'p2': ('black', 'DONE', 0, 9.204196000000001)}"
"{'p1': ('white', 'DONE', 0.5, 8.249608), 'p2': ('black', 'DONE', 0.5, 6.596622999999999)}"
"{'p1': ('white', 'DONE', 1, 7.45712), 'p2': ('black', 'DONE', 0, 9.758111999999999)}"
"{'p1': ('white', 'DONE', 1, 7.028764000000001), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.429826999999998), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.932047000000003), 'p2': ('black', 'DONE', 0.5, 0.8051230000000007)}"
"{'p1': ('white', 'DONE', 0.5, 9.222272000000002), 'p2': ('black', 'DONE', 0.5, 8.568801999999998)}"
"{'p1': ('white', 'DONE', 0.5, 9.83557), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0, 9.624515999999998), 'p2': ('black', 'DONE', 1, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.720167999999997), 'p2': ('black', 'DONE', 0.5, 9.752435)}"
"{'p1': ('white', 'DONE', 0.5, 8.238278), 'p2': ('black', 'DONE', 0.5, 9.982233)}"
"{'p1': ('white', 'DONE', 1, 9.834403), 'p2': ('black', 'DONE', 0, 9.863268999999999)}"
"{'p1': ('white', 'DONE', 0.5, 8.047329999999999), 'p2': ('black', 'DONE', 0.5, 2.8893000000000013)}"
"{'p1': ('white', 'DONE', 0.5, 8.446997000000003), 'p2': ('black', 'DONE', 0.5, 8.347742999999998)}"
"{'p1': ('white', 'DONE', 0.5, 9.666064000000002), 'p2': ('black', 'DONE', 0.5, 9.39613)}"
"{'p1': ('white', 'DONE', 0.5, 9.678537999999996), 'p2': ('black', 'DONE', 0.5, 9.267995999999998)}"
"{'p1': ('white', 'DONE', 0, 9.304505), 'p2': ('black', 'DONE', 1, 7.189205999999997)}"
"{'p1': ('white', 'DONE', 0, 9.186588999999998), 'p2': ('black', 'DONE', 1, 6.047479000000001)}"
"{'p1': ('white', 'DONE', 0.5, 9.823247000000002), 'p2': ('black', 'DONE', 0.5, 9.361106000000001)}"
"{'p1': ('white', 'DONE', 0.5, 9.661331999999998), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.959971999999999), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 0.8106930000000017)}"
